,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
56,-,Chennai,Datsun,RediGO,1.0 T Option,2018,Petrol,Manual,"8,515 kms",3.6 Lakh
57,-,Chennai,Hyundai,i20,Sportz 1.2,2014,Petrol,Manual,"30,000 kms",5.45 Lakh
58,-,Chennai,Volkswagen,Polo,1.5 TDI Comfortline,2018,Diesel,Manual,"20,001 kms",7.65 Lakh
59,-,Chennai,Toyota,Innova,2.5 VX 7 STR,2010,Diesel,Manual,"1,74,815 kms",7.5 Lakh
60,-,Chennai,Hyundai,Creta,1.6 SX Automatic Diesel,2015,Diesel,Automatic,"82,000 kms",9.25 Lakh
61,-,Chennai,Hyundai,EON,Era Plus,2013,Petrol,Manual,"18,000 kms",3.15 Lakh
62,-,Chennai,Honda,Mobilio,V i-VTEC,2015,Petrol,Manual,"71,000 kms",5.9 Lakh
63,-,Chennai,Toyota,Innova Crysta,2.8 AT Touring Sport BSIV,2017,Diesel,Automatic,"78,000 kms",19.5 Lakh
64,-,Chennai,Hyundai,Santro Xing,GLS,2008,Petrol,Manual,"1,02,321 kms",1.7 Lakh
65,-,Chennai,Jeep,Compass,1.4 Limited,2017,Petrol,Automatic,"30,000 kms",15 Lakh
66,-,Chennai,Maruti,Baleno,1.2 Zeta,2018,Petrol,Manual,"35,000 kms",6.75 Lakh
67,-,Chennai,Maruti,Swift,1.3 LXI,2009,Petrol,Manual,"48,000 kms",2.9 Lakh
68,-,Chennai,Toyota,Innova Crysta,2.8 ZX AT BSIV,2018,Diesel,Automatic,"41,000 kms",23 Lakh
69,-,Chennai,Chevrolet,Enjoy,TCDi LTZ 7 Seater,2013,Diesel,Manual,"27,000 kms",4.4 Lakh
70,-,Chennai,Maruti,SX4 S Cross,DDiS 200 Zeta,2015,Diesel,Manual,"36,000 kms",7.8 Lakh
71,-,Chennai,Honda,Brio,1.2 S MT,2017,Petrol,Manual,"52,000 kms",4.95 Lakh
72,-,Chennai,Hyundai,Creta,1.6 SX Automatic,2017,Petrol,Automatic,"37,000 kms",10.5 Lakh
73,-,Chennai,Land,Rover Discovery Sport,SD4 HSE Luxury 7S,2018,Diesel,Automatic,"40,001 kms",44 Lakh
74,-,Chennai,Volkswagen,Vento,1.6 Highline Plus 16 Alloy,2019,Petrol,Manual,"15,000 kms",9.5 Lakh
75,-,Chennai,Maruti,Swift,VDI Optional,2016,Diesel,Manual,"39,000 kms",5.9 Lakh
76,-,Chennai,Chevrolet,Beat,Diesel PS,2013,Diesel,Manual,"34,001 kms",2.95 Lakh
77,-,Chennai,Maruti,Wagon R,VXI,2009,Petrol,Manual,"60,200 kms",2.15 Lakh
78,-,Chennai,Hyundai,Verna,SX CRDi AT,2011,Diesel,Automatic,"45,000 kms",4.9 Lakh
79,-,Chennai,Maruti,Baleno,1.3 Delta,2018,Diesel,Manual,"62,037 kms",6.8 Lakh
80,-,Chennai,Hyundai,Santro Xing,GLS,2009,Petrol,Manual,"91,600 kms",1.85 Lakh
81,-,Chennai,Maruti,Eeco,7 Seater Standard BSIV,2012,Petrol,Manual,"65,500 kms",2.7 Lakh
82,-,Chennai,Honda,BR-V,i-VTEC V MT,2018,Petrol,Manual,"2,000 kms",10.35 Lakh
83,-,Chennai,Maruti,Swift Dzire,VXI AT,2015,Petrol,Automatic,"42,000 kms",6.15 Lakh
84,-,Chennai,Hyundai,i10,Sportz,2015,Petrol,Manual,"40,001 kms",4 Lakh
85,-,Chennai,Maruti,Ciaz,AT ZXi,2015,Petrol,Automatic,"69,000 kms",6.5 Lakh
86,-,Chennai,Nissan,Micra,Diesel XV,2013,Diesel,Manual,"47,000 kms",3.75 Lakh
87,-,Chennai,Maruti,Baleno,1.2 Delta,2017,Petrol,Manual,"34,010 kms",6.6 Lakh
88,-,Chennai,Hyundai,i10,Sportz AT,2012,Petrol,Automatic,"40,280 kms",3.75 Lakh
89,-,Chennai,Datsun,GO Plus,A,2016,Petrol,Manual,"46,001 kms",3.7 Lakh
90,-,Chennai,Hyundai,EON,Era Plus,2013,Petrol,Manual,"41,001 kms",3.15 Lakh
91,-,Chennai,Maruti,Wagon R,VXI BS IV,2012,Petrol,Manual,"42,000 kms",3.25 Lakh
92,-,Chennai,Hyundai,Elantra,SX,2012,Petrol,Manual,"79,082 kms",5.25 Lakh
93,-,Chennai,Volkswagen,CrossPolo,1.5 TDI,2014,Diesel,Manual,"66,000 kms",5.25 Lakh
94,-,Chennai,Mahindra,Logan,Diesel 1.5 DLE,2011,Diesel,Manual,"1,12,841 kms",1.2 Lakh
95,-,Chennai,Hyundai,Grand i10,Sportz,2016,Petrol,Manual,"42,000 kms",4.5 Lakh
96,-,Chennai,Ford,Ecosport,1.5 DV5 MT Ambiente,2013,Diesel,Manual,"1,45,000 kms",5 Lakh
97,-,Chennai,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014,Diesel,Manual,"1,30,000 kms",12 Lakh
98,-,Chennai,Renault,Duster,Petrol RxL,2014,Petrol,Manual,"25,000 kms",5.65 Lakh
99,-,Chennai,Toyota,Innova Crysta,2.4 G MT 8 STR,2018,Diesel,Manual,"92,000 kms",16.5 Lakh
100,-,Chennai,Maruti,Baleno,1.3 Delta,2018,Diesel,Manual,"62,037 kms",6.8 Lakh
101,-,Chennai,Hyundai,Santro Xing,GLS,2009,Petrol,Manual,"91,600 kms",1.85 Lakh
102,-,Chennai,Maruti,Eeco,7 Seater Standard BSIV,2012,Petrol,Manual,"65,500 kms",2.7 Lakh
103,-,Chennai,Volkswagen,Vento,1.6 Highline Plus 16 Alloy,2019,Petrol,Manual,"15,000 kms",9.5 Lakh
104,-,Chennai,Land,Rover Discovery Sport,SD4 HSE Luxury 7S,2018,Diesel,Automatic,"40,001 kms",44 Lakh
105,-,Chennai,Maruti,Swift,VDI Optional,2016,Diesel,Manual,"39,000 kms",5.9 Lakh
106,-,Chennai,Datsun,GO Plus,A,2016,Petrol,Manual,"46,001 kms",3.7 Lakh
107,-,Chennai,Chevrolet,Beat,Diesel PS,2013,Diesel,Manual,"34,001 kms",2.95 Lakh
108,-,Chennai,Maruti,Wagon R,VXI,2009,Petrol,Manual,"60,200 kms",2.15 Lakh
109,-,Chennai,Maruti,Swift Dzire,VXI AT,2015,Petrol,Automatic,"42,000 kms",6.15 Lakh
110,-,Chennai,Hyundai,Elantra,SX,2012,Petrol,Manual,"79,082 kms",5.25 Lakh
111,-,Chennai,Ford,Ecosport,1.5 DV5 MT Ambiente,2013,Diesel,Manual,"1,45,000 kms",5 Lakh
112,-,Chennai,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014,Diesel,Manual,"1,30,000 kms",12 Lakh
113,-,Chennai,Renault,Duster,Petrol RxL,2014,Petrol,Manual,"25,000 kms",5.65 Lakh
114,-,Chennai,Toyota,Innova Crysta,2.4 G MT 8 STR,2018,Diesel,Manual,"92,000 kms",16.5 Lakh
115,-,Chennai,Maruti,Swift Dzire,VDI,2018,Diesel,Manual,"83,000 kms",7.8 Lakh
116,-,Chennai,Hyundai,i10,Sportz,2011,Petrol,Manual,"88,756 kms",2.65 Lakh
117,-,Chennai,Hyundai,i20,1.2 Sportz,2011,Petrol,Manual,"88,000 kms",3.2 Lakh
118,-,Chennai,Renault,Duster,110PS Diesel RxZ,2013,Diesel,Manual,"85,000 kms",5.65 Lakh
119,-,Chennai,Renault,Duster,85PS Diesel RxL Option,2013,Diesel,Manual,"1,30,254 kms",4.7 Lakh
120,-,Chennai,Maruti,Ritz,VXI,2009,Petrol,Manual,"30,000 kms",3.15 Lakh
121,-,Chennai,Honda,Amaze,VX i-VTEC,2016,Petrol,Manual,"39,000 kms",6 Lakh
122,-,Chennai,Maruti,Swift,VXI Optional,2017,Petrol,Manual,"44,000 kms",6.2 Lakh
123,-,Chennai,Hyundai,Grand i10,1.2 Kappa Magna BSIV,2018,Petrol,Manual,"4,000 kms",5.6 Lakh
124,-,Chennai,Volkswagen,Vento,1.6 Highline,2014,Petrol,Manual,"92,915 kms",4.5 Lakh
125,-,Chennai,Hyundai,i10,Sportz 1.1L,2011,Petrol,Manual,"1,22,531 kms",2.4 Lakh
126,-,Chennai,Volkswagen,Polo,1.5 TDI Highline,2017,Diesel,Manual,"40,000 kms",7.1 Lakh
127,-,Chennai,Maruti,SX4 S Cross,Zeta DDiS 200 SH,2017,Diesel,Manual,"26,000 kms",8.6 Lakh
128,-,Chennai,Tata,Tiago,XZ,2019,Petrol,Manual,"38,295 kms",5.3 Lakh
129,-,Chennai,Hyundai,Verna,1.6 SX VTVT,2014,Petrol,Manual,"79,000 kms",5.5 Lakh
130,-,Chennai,Maruti,Swift Dzire,ZDI,2019,Diesel,Manual,"49,000 kms",7.95 Lakh
131,-,Chennai,Maruti,Ertiga,ZDI,2014,Diesel,Manual,"60,000 kms",6.8 Lakh
132,-,Chennai,Honda,City,i VTEC V,2012,Petrol,Manual,"92,000 kms",5.2 Lakh
133,-,Chennai,Volkswagen,Vento,1.5 TDI Highline,2016,Diesel,Manual,"74,742 kms",7.25 Lakh
134,-,Chennai,Maruti,Alto K10,2010-2014 VXI,2013,Petrol,Manual,"23,850 kms",2.65 Lakh
135,-,Chennai,Maruti,Swift Dzire,ZXI,2015,Petrol,Manual,"55,000 kms",5.8 Lakh
136,-,Chennai,Maruti,Swift Dzire,VDi,2008,Diesel,Manual,"76,852 kms",2.85 Lakh
137,-,Chennai,Renault,Duster,85PS Diesel RxE,2014,Diesel,Manual,"54,000 kms",5.8 Lakh
